beta.(Intercept),beta.veg1,alpha.(Intercept),alpha.sal,alpha.twg,delta.(Intercept),delta.sal,delta.fish,delta.turb
-0.5684115,1.547119,1.286274,-0.03045402,0.0009019492,1.09199,-0.03514548,-0.0007806864,0.001089703
-0.3724966,0.9061735,1.286274,-0.03045402,0.0009019492,0.9189489,-0.03509451,-0.001321849,0.001835357
-0.3724966,0.9061735,1.070519,-0.02690045,0.003031359,1.016056,-0.04203267,-0.001754788,0.002654145
-0.990378,1.539201,1.070519,-0.02690045,0.003031359,1.205871,-0.04672821,-0.001582975,0.002122644
-0.990378,1.539201,1.593978,-0.04790991,0.00232326,0.9537409,-0.04425719,-0.001266062,0.002450628
-0.990378,1.539201,1.428784,-0.03645642,0.003742084,1.015995,-0.04354813,-0.001461534,0.00233699
-0.4715863,0.8847506,1.346303,-0.03495122,0.0006212264,1.015995,-0.04354813,-0.001461534,0.00233699
-0.4715863,0.8847506,0.7881849,-0.02004559,0.006139762,1.099882,-0.03681874,-0.001475757,0.001929848
-0.4715863,0.8847506,1.04086,-0.02041249,0.001722593,0.9358811,-0.04280641,-0.001412768,0.002589842
-0.4715863,0.8847506,1.104427,-0.026243,0.001904601,1.039671,-0.04689928,-0.001372178,0.002321767
-0.4715863,0.8847506,1.178723,-0.02698852,0.001858104,1.013862,-0.04599486,-0.001609994,0.002376889
-0.4715863,0.8847506,1.178723,-0.02698852,0.001858104,1.089248,-0.04018967,-0.0009918931,0.001676155
-1.156828,1.318477,1.151861,-0.03070721,0.003425968,0.8323383,-0.03748492,-0.001139498,0.002291136
-1.156828,1.318477,1.151861,-0.03070721,0.003425968,1.046479,-0.04262672,-0.001746511,0.002464349
-0.8788173,1.397882,1.204392,-0.0280393,0.002026117,0.8919428,-0.03899217,-0.001232485,0.002447374
-0.8788173,1.397882,1.25032,-0.03539196,0.002449355,0.9083418,-0.03148607,-0.001321228,0.002000053
-0.7432446,1.564574,1.32853,-0.03203948,0.003589018,0.9083418,-0.03148607,-0.001321228,0.002000053
-0.931462,1.662436,1.156209,-0.03088453,0.003159602,1.091855,-0.03538424,-0.001378622,0.001671184
-0.931462,1.662436,1.248519,-0.03264943,-0.003278915,0.9665564,-0.05789463,-0.00139565,0.00334268
-0.9399353,1.968495,1.299383,-0.02927163,-0.0006801294,1.176682,-0.04257484,-0.001977516,0.002254115
-0.8577686,1.438729,0.9824205,-0.01734195,-0.002665391,1.014966,-0.05268959,-0.001924084,0.002942384
-0.7574712,1.363688,1.38173,-0.0356996,-0.001532539,0.9746922,-0.04049932,-0.001120214,0.002176352
